bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Office_Gas_Usage_Current_Jan_kBtu,Office_Gas_Cost_Current_Jan_USD,Office_Gas_Usage_Current_Feb_kBtu,Office_Gas_Cost_Current_Feb_USD,Office_Gas_Usage_Current_Mar_kBtu,Office_Gas_Cost_Current_Mar_USD,Office_Gas_Usage_Current_Apr_kBtu,Office_Gas_Cost_Current_Apr_USD,Office_Gas_Usage_Current_May_kBtu,Office_Gas_Cost_Current_May_USD,Office_Gas_Usage_Current_Jun_kBtu,Office_Gas_Cost_Current_Jun_USD,Office_Gas_Usage_Current_Jul_kBtu,Office_Gas_Cost_Current_Jul_USD,Office_Gas_Usage_Current_Aug_kBtu,Office_Gas_Cost_Current_Aug_USD,Office_Gas_Usage_Current_Sep_kBtu,Office_Gas_Cost_Current_Sep_USD,Office_Gas_Usage_Current_Oct_kBtu,Office_Gas_Cost_Current_Oct_USD,Office_Gas_Usage_Current_Nov_kBtu,Office_Gas_Cost_Current_Nov_USD,Office_Gas_Usage_Current_Dec_kBtu,Office_Gas_Cost_Current_Dec_USD,Office_Steam_Usage_Current_Jan_kBtu,Office_Steam_Cost_Current_Jan_USD,Office_Steam_Usage_Current_Feb_kBtu,Office_Steam_Cost_Current_Feb_USD,Office_Steam_Usage_Current_Mar_kBtu,Office_Steam_Cost_Current_Mar_USD,Office_Steam_Usage_Current_Apr_kBtu,Office_Steam_Cost_Current_Apr_USD,Office_Steam_Usage_Current_May_kBtu,Office_Steam_Cost_Current_May_USD,Office_Steam_Usage_Current_Jun_kBtu,Office_Steam_Cost_Current_Jun_USD,Office_Steam_Usage_Current_Jul_kBtu,Office_Steam_Cost_Current_Jul_USD,Office_Steam_Usage_Current_Aug_kBtu,Office_Steam_Cost_Current_Aug_USD,Office_Steam_Usage_Current_Sep_kBtu,Office_Steam_Cost_Current_Sep_USD,Office_Steam_Usage_Current_Oct_kBtu,Office_Steam_Cost_Current_Oct_USD,Office_Steam_Usage_Current_Nov_kBtu,Office_Steam_Cost_Current_Nov_USD,Office_Steam_Usage_Current_Dec_kBtu,Office_Steam_Cost_Current_Dec_USD,Office_Elec_Usage_Current_Jan_kBtu,Office_Elec_Cost_Current_Jan_USD,Office_Elec_Usage_Current_Feb_kBtu,Office_Elec_Cost_Current_Feb_USD,Office_Elec_Usage_Current_Mar_kBtu,Office_Elec_Cost_Current_Mar_USD,Office_Elec_Usage_Current_Apr_kBtu,Office_Elec_Cost_Current_Apr_USD,Office_Elec_Usage_Current_May_kBtu,Office_Elec_Cost_Current_May_USD,Office_Elec_Usage_Current_Jun_kBtu,Office_Elec_Cost_Current_Jun_USD,Office_Elec_Usage_Current_Jul_kBtu,Office_Elec_Cost_Current_Jul_USD,Office_Elec_Usage_Current_Aug_kBtu,Office_Elec_Cost_Current_Aug_USD,Office_Elec_Usage_Current_Sep_kBtu,Office_Elec_Cost_Current_Sep_USD,Office_Elec_Usage_Current_Oct_kBtu,Office_Elec_Cost_Current_Oct_USD,Office_Elec_Usage_Current_Nov_kBtu,Office_Elec_Cost_Current_Nov_USD,Office_Elec_Usage_Current_Dec_kBtu,Office_Elec_Cost_Current_Dec_USD
1000090014,"17 State St, New York, NY 10004",542515.0,575860,0.942,SC9 Rate II (Large TOD),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2099433.0,119565.7,1546415.0,88070.54,1125191.0,64081.23,693263.0,39482.31,139771.0,7960.16,4996.0,284.53,2190.0,124.72,0.0,,67.0,3.82,159420.0,9079.2,909504.0,51797.55,1511165.0,86063.0,1729384.0,56651.43,1638936.0,56324.27,1765757.0,54733.63,1508675.0,47290.18,1583508.0,52875.71,1710710.0,65827.27,1971412.0,76468.5,1874509.0,74656.43,1681321.0,66325.49,1579708.0,51140.96,1609001.0,53580.87,1670630.0,51917.59
1000090029,"24 State St, New York, NY 10004",849807.0,835356,1.0,SC9 Rate II (Large TOD),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4493238.0,160687.82,3808258.0,136191.47,2809884.0,100487.48,1671120.0,59762.83,2047683.0,73229.53,3168637.0,113317.25,4115817.0,147190.44,3954437.0,141419.15,3075214.0,109976.25,2344074.0,83829.11,2713496.0,97040.43,3528474.0,126185.8,3015631.0,98413.51,2766468.0,94728.43,3010817.0,92973.46,2879293.0,89797.29,2985666.0,99251.8,2983438.0,114428.11,3039317.0,117619.48,3097332.0,123030.89,2799834.0,110115.45,2719127.0,87666.42,2848585.0,94473.53,2846916.0,88119.51
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792,0.795,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1142879.0,65088.59,945459.0,53845.24,668019.0,38044.63,234802.0,13372.31,39239.0,2234.72,96.0,5.47,38.0,2.16,0.0,,0.0,,105596.0,6013.84,515395.0,29352.48,870494.0,49575.87,1307183.0,42943.34,1231354.0,42441.87,1413692.0,43920.57,1238520.0,38911.84,1223560.0,40970.5,1244775.0,48034.91,1368444.0,53233.54,1367310.0,54591.81,1216011.0,48108.53,1112878.0,36176.16,1098472.0,36739.02,1099946.0,34353.95
1000100023,"1 Whitehall St, New York, NY 10004",316494.0,321994,0.983,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1796541.0,102315.57,1601993.0,91235.78,1164892.0,66342.26,467890.0,26647.0,436365.0,24851.61,886398.0,50481.63,1257856.0,71636.69,1102515.0,62789.8,688107.0,39188.67,513658.0,29253.55,975799.0,55573.14,1474710.0,83986.83,584352.0,19474.34,580050.0,20258.22,619994.0,19543.53,547209.0,17472.15,636800.0,21563.53,701913.0,27305.0,771077.0,30214.42,787596.0,31658.53,674104.0,26892.78,644994.0,21177.57,593786.0,20089.92,588412.0,18610.74
1000130001,"1 Broadway, New York, NY 10004",180000.0,230911,0.78,SC9 Rate I (Standard),567.0,16.85,258.0,9.03,259.0,9.05,522.0,15.71,76.0,4.42,0.0,,0.0,,3.0,2.58,2.0,2.55,0.0,,11.0,2.78,312.0,10.39,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,611540.0,20357.08,564818.0,19739.41,608432.0,19188.42,492494.0,15775.26,449515.0,15369.12,454639.0,17862.5,554519.0,21869.51,561265.0,22704.95,547047.0,21918.48,468988.0,15535.48,487301.0,16577.08,567880.0,17978.84
1000130005,"11 Broadway, New York, NY 10004",411720.0,434220,0.948,SC9 Rate I (Standard),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2504602.0,142640.65,2203223.0,125476.69,1882060.0,107186.0,739885.0,42137.5,51162.0,2913.75,69.0,3.93,53.0,3.02,4354.0,247.97,2685.0,152.91,251959.0,14349.42,1405086.0,80021.65,2277232.0,129691.6,650977.0,21637.53,593837.0,20727.81,677957.0,21323.76,740425.0,23464.37,835518.0,28136.09,976704.0,37798.26,1176393.0,45832.99,1235956.0,49395.49,1061757.0,42069.46,810582.0,26485.69,602509.0,20377.68,615949.0,19458.23
1000130027,"25 Broadway, New York, NY 10004",767690.0,809401,0.948,SC9 Rate II (Large TOD),0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3649441.0,130511.83,3406145.0,121811.05,2919553.0,104409.47,1946369.0,69606.33,973184.0,34803.15,486592.0,17401.57,486592.0,17401.57,486592.0,17401.57,729888.0,26102.36,1459777.0,52204.76,2432961.0,87007.9,3406145.0,121811.05,4647015.0,151381.56,4388848.0,149987.29,4130680.0,127368.09,3872513.0,120600.12,3872513.0,128584.09,4130680.0,158237.09,4647015.0,179571.01,4647015.0,184335.81,4130680.0,162218.29,4130680.0,132915.47,4388848.0,145285.3,4647015.0,143520.2
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862,0.85,SC9 Rate II (Large TOD),180200.0,4561.56,184515.0,4670.73,215618.0,5457.64,167518.0,4240.71,187944.0,4757.48,167747.0,4246.5,142668.0,3612.0,167296.0,4235.09,172153.0,4357.97,179127.0,4534.41,196239.0,4967.35,207714.0,5257.66,8482951.0,303368.52,11097107.0,396856.34,7751901.0,277224.6,3978347.0,142274.22,2668822.0,95442.8,900758.0,32213.04,460986.0,16485.85,475672.0,17011.05,485463.0,17361.2,552367.0,19753.83,2423234.0,86660.04,6543549.0,234011.34,8582567.0,279161.72,8598343.0,293364.26,9177603.0,282375.48,8361894.0,259829.73,9434032.0,312530.22,9228231.0,352893.96,11617114.0,448158.95,9579341.0,379456.93,9027723.0,353938.32,8264661.0,265435.26,8160657.0,269713.59,7746784.0,238920.13
1000200004,"39 Broadway, New York, NY 10006",447442.0,447442,1.0,SC9 Rate I (Standard),18234.0,463.82,18234.0,463.82,21808.0,554.24,18855.0,479.53,19321.0,491.32,20254.0,514.93,17923.0,455.95,19062.0,484.77,20910.0,531.52,18855.0,479.53,17716.0,450.71,20047.0,509.69,3192814.0,181835.3,2682070.0,152747.71,1698823.0,96750.39,809132.0,46081.22,390097.0,22216.58,14915.0,849.43,16294.0,927.97,54696.0,3115.02,317458.0,18079.69,996153.0,56732.33,1836082.0,104567.48,2413112.0,137430.16,927684.0,30621.7,868340.0,30077.48,980611.0,30619.25,914110.0,28850.88,972739.0,32674.65,1047437.0,40499.3,1299814.0,50588.93,1246695.0,49820.33,1059662.0,41987.44,923042.0,30090.73,881094.0,29567.93,925934.0,28998.48
1000200009,"45 Broadway, New York, NY 10006",368305.0,394763,0.933,SC9 Rate I (Standard),16075.0,409.2,22773.0,578.66,37475.0,950.62,20620.0,524.19,33144.0,841.04,20704.0,526.31,15330.0,390.35,17099.0,435.1,13146.0,335.09,15359.0,391.08,13648.0,347.79,13874.0,353.51,1289264.0,73425.42,1080775.0,61551.68,745222.0,42441.45,370260.0,21086.83,121652.0,6928.25,457.0,26.03,0.0,,0.0,,0.0,,161748.0,9211.78,627372.0,35729.73,956532.0,54475.86,1263398.0,41521.72,1198797.0,41332.97,1317845.0,40976.8,1227346.0,38565.3,1325376.0,44338.05,1341514.0,51729.02,1492240.0,58003.94,1484884.0,59243.0,1328941.0,52529.76,1240791.0,40276.57,1273711.0,42519.98,1254725.0,39117.5
1000200016,"55 Broadway, New York, NY 10006",298081.0,354072,0.842,SC9 Rate I (Standard),172.0,6.85,155.0,6.42,172.0,6.85,1260.0,34.38,35.0,3.39,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1487662.0,84724.47,1282500.0,73040.2,924274.0,52638.72,488657.0,27829.71,215343.0,12264.09,35509.0,2022.29,0.0,,0.0,,0.0,,0.0,,692050.0,39413.23,1317351.0,75025.02,973954.0,32124.0,965214.0,33377.05,990275.0,30916.06,897420.0,28333.27,1020582.0,34257.05,1229805.0,47463.26,1110611.0,43298.13,1124990.0,45005.72,1027971.0,40746.73,957675.0,31200.94,913494.0,30636.77,978179.0,30606.39
